BME_Temp,BME_Humidity,BME_VOC_Ohm,MQ3_Bottom_Analog,MQ3_Bottom_PPM,MQ3_Top_Analog,MQ3_Top_PPM,BME_Temp_diff,BME_Humidity_diff,BME_VOC_Ohm_diff,MQ3_Bottom_Analog_diff,MQ3_Bottom_PPM_diff,MQ3_Top_Analog_diff,MQ3_Top_PPM_diff,time_seconds
29.300400000000003,78.74946666666666,3.2834666666666665,191.2933333333333,1.61,360.5466666666667,3.6001333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
29.297500000000003,78.75394736842105,3.282236842105263,189.2894736842105,1.5888157894736843,358.57894736842104,3.553552631578947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60000
29.294285714285717,78.7590909090909,3.2809090909090908,198.7922077922078,1.645844155844156,368.1428571428572,3.694415584415584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120000
29.29089743589744,78.76076923076923,3.27948717948718,196.46153846153845,1.6247435897435898,365.8589743589744,3.647564102564103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180000
29.287215189873415,78.76227848101266,3.278354430379747,194.1772151898734,1.6041772151898734,363.53164556962025,3.6018987341772157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240000
29.283375,78.763875,3.2768749999999995,192.0125,1.584125,361.3875,3.5575,-0.017025000000003843,0.014408333333335577,-0.006591666666666995,0.7191666666666947,-0.025875000000000092,0.8408333333333076,-0.0426333333333333,300000
29.279382716049383,78.76469135802469,3.275432098765432,198.85185185185185,1.5991358024691358,368.8395061728395,3.62320987654321,-0.018117283950619623,0.010743989603639648,-0.006804743339830832,9.562378167641356,0.010320012995451489,10.260558804418451,0.06965724496426295,360000
29.27536585365853,78.76670731707317,3.274146341463415,196.4268292682927,1.5796341463414634,366.1585365853659,3.5792682926829267,-0.01891986062718587,0.007616407982268925,-0.006762749445675897,-2.3653785239150977,-0.06621000950269273,-1.984320557491344,-0.11514729173265748,420000
29.27144578313253,78.77265060240964,3.272771084337349,194.4578313253012,1.5606024096385542,364.2530120481928,3.536867469879518,-0.019451652764907124,0.011881371640413363,-0.006716095149830625,-2.0037071362372387,-0.06414118010503556,-1.6059623107816492,-0.11069663268458507,480000
29.267619047619046,78.77464285714285,3.271428571428572,192.39285714285717,1.5420238095238097,361.6547619047619,3.495,-0.019596142254368232,0.012364376130193477,-0.006925858951175368,-1.7843580470162408,-0.062153405666063755,-1.876883664858326,-0.10689873417721563,-360152
29.27164705882353,78.77635294117647,3.281294117647059,190.12941176470588,1.5238823529411765,359.2117647058824,3.454117647058823,-0.01172794117647058,0.012477941176470608,0.0044191176470596005,-1.8830882352941103,-0.06024264705882354,-2.175735294117601,-0.10338235294117704,-300152
29.273488372093023,78.77790697674418,3.2852325581395347,188.593023255814,1.5061627906976744,357.6162790697674,3.414767441860465,-0.005894343956359904,0.013215618719485178,0.009800459374102566,-10.258828596037858,-0.09297301177146133,-11.223227103072077,-0.20844243468274515,-240152
29.27379310344828,78.77988505747126,3.286436781609196,186.7471264367816,1.4888505747126437,355.81609195402297,3.3760919540229883,-0.0015727502102507174,0.013177740398091942,0.01229044014578129,-9.679702831511094,-0.09078357162881967,-10.342444631342914,-0.20317633865993834,-180152
29.272954545454542,78.78340909090909,3.286704545454546,184.9431818181818,1.4719318181818182,354.1931818181818,3.3384090909090904,0.0015087623220111368,0.010758488499448049,0.013933461117196622,-9.514649507119401,-0.08867059145673606,-10.05983023001096,-0.1984583789704275,-120152
29.2714606741573,78.78752808988764,3.286179775280899,195.80898876404493,1.614044943820225,365.3370786516854,3.676741573033708,0.0038416265382537063,0.01288523274479303,0.014751203852327421,3.416131621187759,0.07202113429641521,3.6823167469234477,0.18174157303370775,-60152
29.26933333333333,78.78977777777777,3.285555555555556,194.0,1.5961111111111113,363.5888888888889,3.636555555555556,-0.002313725490200369,0.013424836601302559,0.004261437908496646,3.8705882352941217,0.07222875816993479,4.377124183006515,0.18243790849673314,-152
29.266703296703295,78.79164835164835,3.2846153846153845,192.15384615384616,1.5785714285714287,361.7362637362637,3.597142857142857,-0.006785075389728945,0.013741374904171266,-0.0006171735241502496,3.5608228980321712,0.07240863787375429,4.119984666496293,0.18237541528239198,59848
29.26380434782609,78.79347826086956,3.283478260869565,190.55434782608697,1.561413043478261,360.0652173913044,3.558695652173913,-0.009988755622192258,0.013593203398301057,-0.0029585207396309876,3.8072213893053686,0.07256246876561723,4.249125437281407,0.18260369815092448,119848
29.26064516129032,78.79731182795699,3.282258064516129,188.68817204301075,1.5446236559139783,358.2795698924731,3.520967741935484,-0.012309384164222337,0.013902737047899905,-0.004446480938416819,3.744990224828939,0.07269183773216015,4.086388074291278,0.18255865102639346,179848
29.25744680851064,78.80170212765957,3.280851063829787,186.9468085106383,1.528191489361702,356.51063829787233,3.484042553191489,-0.014013865646660406,0.014174037771923054,-0.005328711451112245,-8.86218025340662,-0.085853454458523,-8.826440353813041,-0.1926990198422187,239848
29.25421052631579,78.80463157894737,3.27978947368421,190.7684210526316,1.522526315789474,360.3368421052632,3.479894736842105,-0.015122807017537099,0.01485380116959334,-0.005766081871345641,-3.231578947368405,-0.07358479532163731,-3.252046783625701,-0.15666081871345128,299848
29.250833333333333,78.8059375,3.2784375000000003,189.28125,1.5066666666666668,358.75,3.444270833333333,-0.015869963369961937,0.014289148351650738,-0.006177884615384155,-2.8725961538461604,-0.07190476190476192,-2.986263736263709,-0.15287202380952403,359848
