,precision,recall,f1-score,support
Fresh,0.9767080745341615,0.833112582781457,0.8992137240886348,755.0
Late_Spoilage,0.03225806451612903,1.0,0.0625,15.0
Spoiling,1.0,0.16502463054187191,0.2832980972515856,406.0
accuracy,0.6045918367346939,0.6045918367346939,0.6045918367346939,0.6045918367346939
macro avg,0.6696553796834301,0.666045737774443,0.4150039404467401,1176.0
weighted avg,0.9727027782661852,0.6045918367346939,0.6759038173223325,1176.0
