Timestamp,time,BME_Temp,BME_Humidity,BME_VOC_Ohm,MQ3_Bottom_Analog,MQ3_Bottom_PPM,MQ3_Top_Analog,MQ3_Top_PPM,Time_to_Spoilage_Minutes
2025-06-16 14:58:18,319994,24.52133333333333,74.35773333333333,4.760266666666666,806.1066666666667,23.5132,934.0666666666667,29.907866666666667,2725
2025-06-16 14:59:18,379994,24.558157894736844,74.48197368421053,4.7475,797.9342105263158,23.20394736842105,927.6578947368421,29.51592105263158,2724
2025-06-16 15:00:18,439994,24.590519480519482,74.60493506493506,4.725324675324676,787.5714285714286,22.9025974025974,918.1038961038961,29.132727272727276,2723
2025-06-16 15:01:18,499994,24.621025641025643,74.72576923076923,4.701153846153846,777.474358974359,22.608974358974358,909.6153846153846,28.759487179487184,2722
2025-06-16 15:02:18,559994,24.649746835443036,74.84569620253166,4.67620253164557,767.632911392405,22.32278481012658,898.2278481012659,28.395443037974687,2721
2025-06-16 15:03:18,619994,24.677625,74.96362500000001,4.6515,758.0375,22.04375,887.0,28.0405,2720
2025-06-16 15:04:18,679994,24.704814814814814,75.07938271604938,4.62716049382716,751.6666666666666,21.771851851851853,882.358024691358,27.696666666666665,2719
2025-06-16 15:05:18,739994,24.731341463414633,75.19317073170731,4.603292682926829,742.5,21.506341463414635,872.9024390243902,27.358902439024387,2718
2025-06-16 15:06:18,799994,24.75771084337349,75.30638554216868,4.579759036144578,769.5180722891566,21.24722891566265,902.1084337349398,27.02927710843373,2717
2025-06-16 15:07:18,859994,24.784285714285716,75.41904761904762,4.556785714285714,784.9285714285714,21.602738095238095,918.7619047619048,27.918333333333333,2716
2025-06-16 15:08:18,919994,24.819294117647058,75.53094117647059,4.54764705882353,800.1882352941177,21.980941176470587,935.1882352941177,28.835176470588237,2715
2025-06-16 15:09:26,65950,24.850232558139535,75.64081395348836,4.530348837209303,820.0348837209302,23.82732558139535,956.2906976744187,29.730697674418607,2714
2025-06-16 15:10:26,125950,24.879425287356323,75.74862068965517,4.512183908045977,810.6091954022988,23.55344827586207,945.2988505747127,29.38896551724138,2713
2025-06-16 15:11:26,185950,24.907386363636363,75.85454545454546,4.492840909090909,801.3977272727273,23.285795454545454,934.7954545454545,29.055000000000003,2712
2025-06-16 15:12:26,245950,24.93426966292135,75.95842696629214,4.473595505617977,793.2471910112359,23.02415730337079,928.3595505617977,28.72921348314607,2711
2025-06-16 15:13:26,305950,24.96033333333333,76.06055555555555,4.454666666666667,787.1111111111111,22.768555555555558,923.6333333333333,28.412,2710
2025-06-16 15:14:26,365950,24.985714285714284,76.16142857142857,4.435934065934066,778.4615384615385,22.51835164835165,913.7142857142857,28.099780219780218,2709
2025-06-16 15:15:26,425950,25.010652173913044,76.26054347826087,4.4174999999999995,807.195652173913,22.27358695652174,946.0217391304348,27.794347826086955,2708
2025-06-16 15:16:26,485950,25.03516129032258,76.35817204301075,4.399462365591398,801.010752688172,22.034301075268818,941.2795698924731,27.497419354838712,2707
2025-06-16 15:17:26,545950,25.05925531914894,76.45382978723404,4.381808510638297,792.4893617021277,21.799893617021276,931.5744680851063,27.20489361702128,2706
2025-06-16 15:18:26,605950,25.083157894736843,76.54873684210527,4.364631578947368,784.1473684210526,21.57042105263158,924.1578947368421,26.91863157894737,2705
2025-06-16 15:20:26,725950,25.114687500000002,76.64354166666666,4.359479166666667,812.4270833333334,21.34572916666667,955.375,26.638333333333335,2703
2025-06-16 15:21:26,785950,25.142680412371135,76.73680412371134,4.347113402061856,804.0515463917526,21.125670103092784,946.1237113402062,26.363711340206187,2702
2025-06-16 15:22:26,845950,25.169285714285717,76.82857142857142,4.333877551020408,795.8469387755102,20.910102040816327,936.6836734693877,26.094693877551023,2701
2025-06-16 15:23:26,905950,25.194343434343438,76.91898989898989,4.32,792.6464646464647,20.70040404040404,934.8686868686868,25.838282828282832,2700
2025-06-16 15:25:33,125867,25.218600000000002,77.0081,4.3062000000000005,815.1,20.494899999999998,959.28,25.587,2698
2025-06-16 15:26:33,185867,25.24227722772277,77.0959405940594,4.292673267326733,809.4059405940594,20.292178217821778,955.2772277227723,25.336138613861383,2697
2025-06-16 15:27:33,245867,25.26549019607843,77.1821568627451,4.279411764705882,821.3039215686274,20.539901960784317,968.5686274509804,26.113725490196078,2696
2025-06-16 15:28:33,305867,25.288349514563105,77.26718446601942,4.266504854368932,813.3300970873786,20.340485436893207,959.757281553398,25.860194174757282,2695
2025-06-16 15:29:33,365867,25.31096153846154,77.35115384615385,4.2539423076923075,805.9615384615385,20.14490384615385,953.0961538461538,25.611730769230768,2694
2025-06-16 15:30:33,425867,25.333238095238098,77.43380952380953,4.241714285714286,799.9619047619047,19.953142857142858,948.4571428571429,25.369142857142858,2693
2025-06-16 15:31:33,485867,25.355188679245284,77.5154716981132,4.229716981132076,794.622641509434,19.765094339622642,944.5377358490566,25.131792452830187,2692
2025-06-16 15:32:33,545867,25.383644859813085,77.59672897196262,4.2275700934579445,787.196261682243,19.5803738317757,936.1588785046729,24.896915887850465,2691
2025-06-16 15:33:33,605867,25.408981481481483,77.67666666666666,4.2188888888888885,800.5462962962963,20.15138888888889,953.1851851851852,24.666388888888886,2690
2025-06-16 15:34:33,665867,25.432477064220183,77.7554128440367,4.2088990825688075,814.5779816513761,20.95935779816514,968.3577981651376,26.722568807339453,2689
2025-06-16 15:35:33,725867,25.45509090909091,77.83263636363637,4.1989090909090905,807.1727272727272,20.768818181818183,960.2,26.479636363636367,2688
